results.address_1,results.city,results.classification,results.code_info,results.country,results.distribution_pattern,event_id,results.initial_firm_notification,results.product_description,results.postal_code,results.product_quantity,results.product_type,results.reason_for_recall,results.recall_number,results.recalling_firm,results.state,results.status,results.voluntary_mandated,recall_initiation_date,report_date,center_classification_date,termination_date
1145 Chesapeake Ave Ste E,Columbus,Class II,No codes: product distributed/purchased 1/1/2006-6/27/2008,United States,Distributed to all 50 states.  No foreign countries.,69131,Letter,Savannah Buttermint- possible pints/possible half gallon.  Flavor of frozen dessert on the immediate package.  No ingredients listed.,43212-2286,Unknown for this product,Food,Frozen desserts do not include ingredients on the labeling.,F-2473-2014,Jenis Splendid Ice Creams LLC,OH,Terminated,Voluntary: Firm initiated,2008-07-07,2014-09-24,2014-09-18,2014-11-06
115 Tompkins Ave,Pleasantville,Class I,Best Buy date between 04/24/2018 to 05/31/2018,United States,nationwide,77872,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Amrita Cranberry Raisin Energy Bar, 50gm   UPC: 853009004032",10570-3127,"115,000 bars (total)",Food,Product may be contaminated with Listeria monocytogenes,F-3479-2017,Amrita Health Foods,NY,Terminated,Voluntary: Firm initiated,2017-08-02,2017-09-06,2017-08-29,2019-02-14
115 W College Dr,Marshall,Class I,4800361,United States,"Florida, Texas, Illinois, New Jersey, Maryland, Virginia.    Consignee list to be provided later.",67873,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Holiday Foods Gourmet Cold Canapes Assortment, 4800361, UPC 70220748003616, 100 OCS. Keep Frozen, For Institutional Use Only, Defrost in Refrigerator for Approximately 3 hours Before Serving, Consume Immediately. Prepared by Holiday Foods Inc, Hollywood, Florida 33020.",56258-1747,971 cases,Food,"Schwans Food Company is recalling Cheddar Cheese Puffs and Gourmet Cold Canapes Assortment manufactured by Holiday Foods, Inc that were prepared with ingredients  which are being recalled by Parker Farm Inc. because of the potential of  Listeria monocytogenes contamination.",F-1888-2014,"Schwan's Global Supply Chain, Inc.",MN,Terminated,Voluntary: Firm initiated,2014-03-25,2014-05-07,2014-04-28,2014-08-05
1150 W 40th St,Chicago,Class I,There are no product or production codes associated with these products.,United States,US: IL,69702,Telephone,"Mung bean sprouts packaged in 10 lb., 15 lb., and 30 lb. plastic bags.",60609-2505,"110,000 lbs. of mung bean sprouts",Food,Listeria monocytogenes was found in the mung bean sprouts and the area where the sprouts are produced.,F-0615-2016,Wholesome Soy Products,IL,Terminated,Voluntary: Firm initiated,2014-08-29,2016-02-24,2016-02-17,2016-04-13
116 Sweet St,East Arlington,Class I,All Sizes with Best By/Sell By dates of 9/13/24 to 11/14/24:,United States,"VT, NH, MA, and NY.",93452,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Wilcox SUPER PREMIUM Salted Caramel Brownie; 1.5 QT (UPC 04372601520) and Pint (UPC 04372601620),05252-9789,19.31 Tons Total,Food,Products may be contaminated with Listeria monocytogenes.,F-0514-2024,WILCOX ICE CREAM,VT,Completed,Voluntary: Firm initiated,2023-11-15,2023-12-20,2023-12-08,
11859 S Central Ave,Alsip,Class II,LOT 575830,United States,"IL, NY, NC, WI, TX, TN, GA",95763,Letter,"Item 42081001, 104023600 SPICY BREADING EXPORT, 50 lb. bag",60803-3424,"25,903.154 lbs. (total)",Food,potential for pieces of metal in product,F-0304-2025,GRIFFITH FOODS LTD,IL,Terminated,Voluntary: Firm initiated,2024-11-01,2024-12-25,2024-12-19,2025-03-07
1188 Montague St,San Leandro,Class I,There is no UPC code/lot code/expiration date on products.,United States,Distributed to retail markets in Northern California.,61893,Letter,"Santos Brand, Garam Masala (Indian Spice Mix) packed in clear plastic bags,  7 ounces, 16 ounces",94577-4334,,Food,"The recall was initiated after it was discovered during a routine inspection that the products i.e. various kinds of flours, legumes and spices were cross packaged on shared equipment with peanuts and wheat flour.  The products i.e. various kinds of flours, legumes and spices were distributed in packaging that did not reveal the presence of peanuts or wheat, but may contain traces of it.",F-1467-2012,Santos Inc.,CA,Terminated,Voluntary: Firm initiated,2012-05-18,2012-06-27,2012-06-18,2013-09-25
1199 Edison Dr,Cincinnati,Class II,"Item 615040000, Lot #1702394843 PRODUCTION DATE 1/25/2017",United States,"Product was shipped to IL, OH & MO",76865,Telephone,"SJ TACO Net Wgt: 44.5 LBS INGREDIENTS: Spices including Chili Pepper, Garlic Powder, Sugar, Paprika***Wheat Flour***CONTAINS: SOY, WHEAT spicetec¿ FLAVORS & SEASONINGS 6 Santa Fe Way Cranbury, NJ 08512 (800) 345-7742",45216-2265,41/44.5 lb bags,Food,During an internal investigation the firm discovered that an ingredient used in various spices may contain Salmonella.,F-2198-2017,Givaudan Flavours Corp,OH,Terminated,Voluntary: Firm initiated,2017-03-27,2017-05-17,2017-05-05,2017-12-18
120 W Palatine Rd,Wheeling,Class I,"All products with the ""Use By"" dates of APRIL/28/2014, APRIL/29/14, and MAY/9/14",United States,US: Nationwide,68614,Telephone,Edamame Hummus sold under the Trader Joe's brand and packaged in a transparent plastic tub with a white lid and with a net weight of 8 oz (227 g).,60090-5823,"14,232 containers",Food,"Lansal, Inc. (d.b.a. Hot Mama's Foods) is recalling approximately 14,860 pounds of hummus and dip products due to concerns about possible Listeria monocytogenes.",F-2300-2014,Hot Mama's Foods,IL,Terminated,Voluntary: Firm initiated,2014-05-15,2014-08-13,2014-08-05,2016-05-17
1201 Tonne Rd,Elk Grove Village,Class I,Lot 4305,United States,AR CA CO FL GA ID IL IN KS KY LA MD MI MN MO MS NC NJ NV NY OH PA SC TN TX VA WI,95924,Letter,"Nick The Greek Spicy Yogurt Pail, 42lbs pail, UPC 10075365177756, SKU SA000085",60007-4925,141 - 42 lb. pails,Food,potential for salmonella,F-0379-2025,Grecian Delight/Kronos,IL,Terminated,Voluntary: Firm initiated,2024-12-02,2025-01-15,2025-01-03,2025-04-23
1202 E 5th St,Scott City,Class I,"lot 5225B1, best by 5/13/2016;",United States,"Product was distributed to CA, IL, and MI. There was no foreign/military/government distribution.",74250,E-Mail,"Sun Life Natural Sunflower Spread with Maple in clear plastic jar with brown plastic lid, Net Wt. 12 oz.., UPC 855881003370. The responsible name on the label is Nu Life Market, LLC, Scott City, KS.",67871-4155,61 jars (45.75 lbs.),Food,Product manufactured with roasted sunflower kernels which may be contaminated with Listeria monocytogenes.,F-1928-2016,Nu Life Market LLC,KS,Terminated,Voluntary: Firm initiated,2016-05-19,2016-08-24,2016-08-15,2018-09-14
1205 Craig Dr,Santa Maria,Class II,"Use by Date: 8/12/17;    4 x 3 lb.   1.product code 503401: lot codes: 208 171053;   2. product code 503409; lot code 208 170812;  3. Pizza cut product code 503405; lot code 208 170976;  3. Mini Florets product code 503412, lot code 208 170976.    12 x 2 lb. Costco Canada, product code 508215; lot codes 208-170812, 208 171053.    2 x 5lb.;  Asian cut product code 505200,  lot 208 171053.    1x40 lb.   Product code 504405, Lots 208 170976, 208 170996;",United States,"California, Colorado, Minnesota, Missouri, North Carolina, New York, Ohio, Oregon, South Carolina and Canada",77879,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Gold Coast Packing Broccoli Florets;    packed in the following configurations:  12 x 2 lb - Product code 508215 - Costco Canada;  1 x 40 lb.- Product code 504405  4 x 3 lb. - Product Codes 503401; 503409  4 x 3 lb. pizza cut -Product Code 503405  4 x 3 lb. - Mini florets - Product code 503412  2 x 5 lb. - Asian cut -Product code 505200;    Distributed by Gold Coast Packing Co., Santa Maria, CA 93454",93458-4917,1204 total cases,Food,Firm test results found potential E-coli contamination in Broccoli Florets,F-3411-2017,"Fresh Venture Foods, LLC",CA,Terminated,Voluntary: Firm initiated,2017-08-02,2017-08-30,2017-08-22,2017-11-07
1210 Pier View Dr,Idaho Falls,Class I,"Lot # and Julian Date on bag tag of whole YELLOW onions in 2 lbs. bag:  42543-2 RA201 42600-3 RA208 42600-3 RA209 42542-2 RA201 42542-5 RA197 42542-5 RA202  Lot # and Julian Date on bag tag of whole YELLOW onions in 3 lbs. bag:  42543-2 RA201 42543-2 RA203 42543-2 RA204 42542-5 RA202  Lot # and Julian Date on bag tag of whole YELLOW onions in 5 lbs. bag:  42543-2 RA200 42543-2 RA201 42543-2 RA202 42543-2 RA203 42543-2 RA204 42542-2 RA203  ADDITIONAL LOTS: 049008, 119008, and 149007.",United States,distributed in MN and ND.,88935,E-Mail,"Green Giant Fresh brand, Whole YELLOW Onions packaged in 2 lb. flexible mesh bags, UPC 60580600120-8. Green Giant Fresh brand, Whole YELLOW Onions packaged in 3 lb. flexible mesh bags, UPC 60580600123-9. Green Giant Fresh brand, Whole YELLOW Onions packaged in 5 lb. flexible mesh bags, UPC 60580600170-3.",83402-4966,"Total 61,206 lbs or 359 cases (25/2 lb. pkg per case); 397 cases (16/3 lb. pkg per case); 484 cases (10/5 lb. pkg per case);",Food,Salmonella Oranienburg.  Products are supplied by Keeler Family Farm.,F-0183-2022,POTANDON PRODUCE LLC,ID,Terminated,Voluntary: Firm initiated,2021-10-25,2021-11-24,2021-11-18,2021-12-08
1214 Through 1218 60th St,Brooklyn,Class II,Lot L355122 1 - Best Before Date: 02.05.2026 LotL355246 1 - Best Before Date: 03.09.2026,United States,"NY, NJ, GA, CA",98134,E-Mail,Sapori Amaretti Almonds 175 g Cookies,11219-4929,800 units,Food,Contains elevated levels of hydrocyanic acid,H-0366-2026,D. Coluccio & Sons Inc.,NY,Terminated,Voluntary: Firm initiated,2025-12-14,2026-01-14,2026-01-06,2026-04-30
12155 NCR 15,Wellington,Class I,"Expiration date of 5/18/14, 5/19/14, 5/22/14, or 5/23/14;  location code of 1 or 3",United States,"Product was distributed in Colorado; some may have gone to Idaho, Kansas, New Mexico, and Utah. No military/govt/VA or foreign consignees.",68189,Press Release,"Certified Organic, Owl Canyon Whole Eggs, packed in one dozen and half-dozen cardstock packages, with a packing date of 93, 94, 97, or 98.",80549,220,Food,Eggs have the potential to be contaminated with Salmonella Enteritidis,F-2176-2014,"Six Dog, LLC",CO,Terminated,Voluntary: Firm initiated,2014-05-05,2014-07-23,2014-07-15,2014-08-12
1220 E 9 Mile Rd,Ferndale,Class III,14 oz bag UPC 4767131090 Lot 112612  Best By 11/26/12,United States,"Michigan, Indiana, New Jersey,",63663,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Garden Fresh Gourmet Nacho Cheese Tortilla Chips  14oz bags,48220-1972,2132 LBS,Food,Beginning 11/01/2012 Garden Fresh Gourmet recalled Garden Fresh Nacho Cheese Tortilla chips (exp 11/26/2012) because quality standards of ingredients used in the products were not met.,F-0827-2013,"Garden Fresh Salsa, Inc.",MI,Terminated,Voluntary: Firm initiated,2012-11-01,2012-12-26,2012-12-14,2013-02-07
12200 S Central Ave,Alsip,Class II,Product Name  Lot Number or ID     Premix Roasted Chicken 1258969 660025,United States,"Domestic: IL, TX, VA, WI, OK, MS    Foreign: Canada",79550,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Product Name 	Lot Number or ID     Premix Roasted Chicken 1258969	660025,60803-3408,1 unit,Food,"Griffith Foods, Inc. has initiated a voluntary recall of multiple products following a supplier's recall of Autolyzed Yeast Powder due to the presence of Salmonella.",F-0965-2018,GRIFFITH FOODS,IL,Terminated,Voluntary: Firm initiated,2018-03-14,2018-04-04,2018-03-23,2018-07-09
12200 S Central Ave,Alsip,Class II,Batch or lot numbers:  673826  676245  676986,United States,Nationwide and Canada,80567,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Caesar Seasoning  50 pound bag   Item 1000031193,60803-3408,"98 bags, 4,900 lbs",Food,Potential presence of  Salmonella due to use of recalled whey ingredient,F-1884-2018,Griffith Labs U.S.A.,IL,Terminated,Voluntary: Firm initiated,2018-07-17,2018-08-08,2018-08-27,2020-05-20
12-24 Jabez St,Newark,Class II,9/13/2016,United States,NJ,75185,E-Mail,"Triana Family Brioche Donuts Bavarian Cream Net Wt. 0.75 LBS (340 g)  12 -24 Jabez St., Newark, NJ 07106 UPC 000260003995    packaged in a clear plastic clam shell container",07105-3082,60 units,Food,Brioche Donuts- Bavarian Cream contain undeclared FD&C yellow #5 and FD&C yellow #6.,F-2620-2016,"PAO DE MILHO III, LLC",NJ,Terminated,Voluntary: Firm initiated,2016-08-30,2016-10-05,2016-09-28,2017-03-14
12254 Sw 131st Ave Unit 2,Miami,Class II,Batch #3-401,United States,U.S. distribution within state of Florida. No foreign distribution.,92215,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Smoked Mahi Dip, Net Wt. 8oz and 48oz",33186-6482,95 containers of 8oz and 4 containers of 48oz,Food,Undeclared Yellow #5,F-0881-2023,Borris Brothers,FL,Terminated,Voluntary: Firm initiated,2023-04-13,2023-05-17,2023-05-11,2023-06-22
12301 Farmington Rd,Livonia,Class I,product 6585,United States,Ohio,74845,E-Mail,"Devils Food Sheet Cake 8x12 Mega   28.125 lb case 20, 2  2.5oz cakes per case",48150-1747,2418 cases,Food,Products may contain undeclared tree nuts (walnuts).  People who have an allergy or severe sensitivity to tree nuts run the risk of serious or life-threatening allergic reaction if they consume these products.,F-2021-2016,"Minnie Marie Bakers, Inc. dba Awrey's Bakery",MI,Terminated,Voluntary: Firm initiated,2016-07-29,2016-09-07,2016-08-30,2017-08-09
12333 Enterprise Blvd,Largo,Class I,Lot 12792402-44,United States,Product was distributed throughout the United States and Germany.,96657,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Spermidine, Maximum Strength, 10 mg per serving, Support healthy Aging, Dietary Supplement, 120 Capsules, oral consumption, shelf life: 24 months, PETE/White/150cc Plastic bottle/lid, 120 count.Supplement Facts: Spermidine 3HCL 10mg*** Other Ingredients: Hydroxypropyl Methylcellulose, Rice Flour",33773-2710,"6,465 bottles",Food,Undeclared allergen: Wheat,F-0729-2025,Supplement Manufacturing Partner Inc.,FL,Terminated,Voluntary: Firm initiated,2025-04-04,2025-04-30,2025-04-22,2025-09-03
1237 W State St,Ontario,Class II,Best By Date: 10/3/2026 - 5/3/2027,United States,Nationwide distribution,97346,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",La Michoacana Coconut Con Crema Single Serve Paleta 3.75oz UPC: 7-67778-00001-3,91762-4015,"74,654 units",Food,Product label includes the ingredient CREAM but does not include Milk as the source.,H-0458-2025,"Tropicale Foods, LLC",CA,Ongoing,Voluntary: Firm initiated,2025-07-25,2025-08-20,2025-08-13,
1238 Corlies Avenue (State Highway 33),Neptune,Class II,11/10/2014  12/17/2014  01/21/2015,United States,nationwide,70791,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Lobster & Shrimp Spring Rolls      Products are placed on plastic trays, shrink wrapped, placed in boxes, labelled, & shrink wrapped.",07753-5069,120 boxes,Food,Products may contain peanut protein.,F-2280-2015,"Gourmet Kitchen, Inc.",NJ,Terminated,Voluntary: Firm initiated,2015-03-15,2015-05-20,2015-05-13,2016-04-12
12482 SE Capps Rd,Clackamas,Class II,"LOT# 1228603, EXP 10/15 (means October 2015);  LOT# 1134004, EXP 12/14 (means December 2014);",United States,"Distributed to California, Florida,  Oregon, Utah, and Mexico",66843,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Zinc Plus, Mineral/Enzyme supplement, 90 vegetable capsules per bottle.  They are sold under brand Enzyme Research Products.",97015-9093,1914 bottles,Food,Dietary supplement products are recalled because they were made from ingredient that was contaminated with Chloramphenicol.,F-1457-2014,Health Wright Products Inc,OR,Terminated,Voluntary: Firm initiated,2013-10-25,2014-02-05,2014-01-30,2015-03-02
125 Moen St,Cranford,Class I,Lot 97368,United States,nationwide,63164,E-Mail,"Organic Pine Nuts (Raw, No Shell)  1 lb.Nuts.com  NutsOnline, 125 Moen Street, Cranford, NJ 07016 800-558-8881",07016-3518,870 lbs.,Food,Pine nuts may contain peanuts,F-0028-2013,"Newark Nut Stores, Inc.",NJ,Terminated,Voluntary: Firm initiated,2012-08-21,2012-10-17,2012-10-09,2015-06-11
1250 Hansen St,Salinas,Class I,Finished product lot serial number 3517681.   Best If Used By: AUG 11.,United States,"To DC's in AZ. OR, TX,  CA. HI, AZ, WA, AK, NY.",74868,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","O Organics Vegetable Tray, 18 oz. (1 lb. 2 oz.) 510g plastic tray.  Best If Used By: AUG 11  UPC (incorrect, which is on the tray): 021130984282  Product of USA & Mexico.",93901-4552,844 cases; 4 x 18 oz. trays per case.,Food,"Incorrect ingredient label was attached to 18 oz. O Organics vegetable Trays with Creamy Ranch Dressing Dip and therefore do not correctly identify the allergens egg, milk and soy.",F-2338-2016,"Mann Packing Company, Inc.",CA,Terminated,Voluntary: Firm initiated,2016-08-04,2016-09-28,2016-09-16,2016-10-19
1250 Hansen St,Salinas,Class I,"Best If Enjoyed By date of October 11, 2019 to November 16, 2019",United States,US and Canada and Japan,84190,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Mann's Rainbow Slaw  6 x 12 oz. UPC: 716519013089 - Canada - Mann  6 x 12 oz. UPC:  716519013089 - SS   Same UPC.  Two films: one for Canada and one for US.      Rainbow Salad 6/12 OZ GE   UPC: 3003492350,93901-4552,"Total: 1,286,466 cases - US,. 141,030 cartons Canada",Food,CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,F-0279-2020,"Mann Packing Company, Inc.",CA,Terminated,Voluntary: Firm initiated,2019-11-03,2019-11-27,2019-12-10,2023-04-06
1250 Hansen St,Salinas,Class I,Best if Used by -  10/13/2017,United States,US and Canada,78326,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Western Family  Spicy Southwester Kale Kit, 22.8 OZ bags  UPC  062639352301- Canada",93901-4552,219 units,Food,CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,F-0193-2018,"Mann Packing Company, Inc.",CA,Terminated,Voluntary: Firm initiated,2017-10-19,2017-11-15,2017-11-14,2017-12-05
1250 Hansen St,Salinas,Class I,Best if Used by -  10/14/2017  10/15/2017  10/16/2017,United States,US and Canada,78326,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Mann's Snacking Favorites Honey Turkey Cheddar, 20.3 oz Tray;  UPC - 716519020483- US",93901-4552,471 units,Food,CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,F-0177-2018,"Mann Packing Company, Inc.",CA,Terminated,Voluntary: Firm initiated,2017-10-19,2017-11-15,2017-11-14,2017-12-05
1250 Hansen St,Salinas,Class I,Best if Used by - 16 oz.  10/14/2017  10/16/2017;    12 oz. bags; US  10/14/2017  10/15/2017  10/16/2017.    Archer Farms:  10/14/2017  10/15/2017    HEB:  10/14/2017  10/15/2017  10/16/2017    Signature Farms  12 oz. bags  10/14/2017  10/15/2017  10/16/2017   28 oz. bags  10/14/2017  10/15/2017  10/16/2017    Walmart 12 oz. bag  10/14/2017  10/15/2017  10/16/2017,United States,US and Canada,78326,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Mann's Family Favorites Broccoli Cauliflower Florets, 16 oz bags - UPC  716519012174- US    12 oz bags - UPC 716519013034 - US and Canada    Also sold under brand names of:  US  Archer Farms - 12 oz. bag:  UPC - 085239341148    HEB - 12 oz. bag  UPC - 4122097503    Signature Farms -   12 oz. bags  UPC - 021130983407  28 oz. bags  UPC -021130984497     Walmart - 12 oz. bag  UPC 681131328852-",93901-4552,12434 units,Food,CFIA sampled one salad product which resulted in a positive result for Listeria monocytogenes.,F-0168-2018,"Mann Packing Company, Inc.",CA,Terminated,Voluntary: Firm initiated,2017-10-19,2017-11-15,2017-11-14,2017-12-05
1251 Argentine Blvd,Kansas City,Class I,"Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Product #: 71511",United States,"Distributed to food service locations in Kansas, Nebraska, Iowa, and Missouri.",90164,Telephone,"POTATO RUSSET QUARTERED 2/10# (01)10886810715115(10)0016086772 71511 Best if used by: 03/25/22, 03/29/22, 04/05/22, 04/06/22, 04/12/22, 04/16/22, 04/20/22, 04/23/22 Ingredients: Potato, Sodium Metabisulfite",66105-1508,"25,433 lbs (total)",Food,Sodium metabisulfite not declared on product label.,F-1159-2022,Liberty Fruit Co Inc DBA Carol's Cuts,KS,Terminated,Voluntary: Firm initiated,2022-05-06,2022-06-15,2022-06-03,2022-10-27
1251 Avenue of the Americas Fl 34,New York,Class I,Product number: Art.-Nr. 702084MHD 22.02.2017,United States,"CA, NY & MA thru four retail stores",76366,E-Mail,"Tomme Brebis Fedou, Net Wt. 9.7lb (case)/Net Wt 4.85 lb per unit, Item number 702084",10020-1104,2 cases/9.7lb/4.85lb per unit,Food,Listeria monocytogenes contamination,F-1534-2017,FROMI USA CORP C/O NATIXIS PRAME,NY,Terminated,Voluntary: Firm initiated,2016-12-21,2017-03-01,2017-02-23,2018-06-25
1255 Oblong Rd,Williamstown,Class II,Batch #076,United States,"NY, MA, CT",92421,E-Mail,Cricket Creek Farm brand Berkshire Bloom Cheese,01267-3046,140 units,Food,Products were not properly pasteurized.,F-1024-2023,Cricket Creek Farm LLC,MA,Terminated,Voluntary: Firm initiated,2023-05-25,2023-07-12,2023-07-05,2024-04-16
12612 W Alameda Pkwy,Lakewood,Class II,Lot code 198-17 packed on date is on the front label beneath the Net Weight.,United States,"45 retail locations in Washington, Oregon, Idaho, Montana, Wyoming, Utah, Colorado, Arizona, New Mexico, Texas, Missouri .  No foreign/VA/Govt/Military consignees.",78120,E-Mail,"Natural Grocers Organic Deglet Noor Dates, Target weight is 0.60 - 0.70 lb random weight package, Zip lock plastic bag.",80228-2824,898 bags,Food,Recalling Natural Grocers brand Organic Deglet Dates because it may contain undeclared coconut,F-3608-2017,"Vitamin Cottage Natural Food Markets, Inc.",CO,Terminated,Voluntary: Firm initiated,2017-09-12,2017-10-11,2017-09-29,2018-02-09
12812 Prospect St.,Dearborn,Class II,Best Before /  APRIL /2016  B.NO:BA (MAN),United States,"National: AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI,  MN, MO, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, TN, TX, U.S.VIRGIN ISLANDS, VA, WA, WI    INTNL: CANADA",69618,Telephone,Mango flavored gelatin mix desert,48126,316,Food,"Voluntary recall of strawberry flavored gelatin mix and mango flavored gelatin mix which were found to contain undeclared colors, FD& C Red # 40, FD&C Yellow #5, and FD&C Yellow #6.",F-0468-2015,"U.B.C Food Distributors, LLC",MI,Terminated,Voluntary: Firm initiated,2014-10-15,2014-11-12,2014-11-06,2015-04-10
12820 Main St,Rogers,Class II,Lot Code 0082026U00232   Best By date:  01/26/2029,United States,WI,98965,E-Mail,Lunds & Byerly's Curry Powder Sweet,55374-9590,144 units (bottles),Food,Sesame Seeds White were labeled as Curry Powder Sweet.,H-0914-2026,"J and J Bunting, Inc",MN,Ongoing,Voluntary: Firm initiated,2026-05-08,2026-06-10,2026-06-09,
129 E Guenther,San Antonio,Class II,Better by: 07/09/21,United States,"Distributed to retail stores and distributors in AL, AR, AZ, CA, CO, DE, FL, GA, IA, IL, IN, KS, KY, LA, MI, MO, NC, NH, NY, OH, OR, PA, TN, TX, UT, VA, and WI",83412,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Winco Foods, Taco Seasoning Mild, Net Wt. 1.25 OZ, Distributed by Winco Foods, LLC, Boise, ID, UPC 0 70552 90126 1",78204-1402,646/24/1.25 OZ/packets/cases,Food,Products contains an ingredient (cumin) potentially contaminated with Salmonella.,F-2087-2019,"CH Guenther & Sons, Inc",TX,Terminated,Voluntary: Firm initiated,2019-07-24,2019-08-14,2019-08-23,2019-11-21
1300 Se Stark St Ste 401,Portland,Class II,"Sell By Feb 06, 20 up to and including Feb 09, 20",United States,Distributed in Oregon only.,84895,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Vegetarian Lasagna With Gluten-Free Pasta, New Seasons Market brand.  Product is packaged in a grab ""n"" go aluminum containter with a clear  dome lid, and labeled with a scale PLU label. UPC 252390 706998.    The CORRECT label reads in part: ""*** VEGETARIAN LASAGNA WITH GLUTEN-FREE PASTA***Filling: Marinara [crushed tomatoes***diced tomatoes***ricotta-cheese (pasteurized whey, cream and milk, vinegar, salt)***mozzarella-provolone blend***Parmesan cheese ***Gluten-free Pasta: White rice flour, pasteurized liquid whole eggs***Contains: Milk, Egg***"".",97214-2473,30 units,Food,Undeclared Soy.  BBQ sauce was inadvertently used instead of Marinara sauce and BBQ sauce contains soy.  The Vegetarian Lasagna finished product label does not declare soy.,F-0713-2020,New Seasons Market LLC,OR,Terminated,Voluntary: Firm initiated,2020-02-06,2020-02-26,2020-02-19,2020-02-19
1301 Swgrs Corp Pkwy,Sunrise,Class II,Batch #  SC69  SC69  SC68  SC69  SC68  SC68  SC65  SC66  SC65  SC65  SC629  SC613  SC607  SC587  SC583  SC576  SC566  SC560  SC556  SC543  SC532  SC527  SC519  SC507,United States,US and Foreign Consignees only. No government consignees.,81215,E-Mail,Internal Cleansing Kit Peppermint,33323-2813,2387 pkgs,Food,"Routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.",F-0412-2019,NUTRANEXT BUSINESS LLC,FL,Terminated,Voluntary: Firm initiated,2018-10-01,2018-11-14,2018-11-08,2019-07-02
1301 Swgrs Corp Pkwy,Sunrise,Class II,Batch #  SC717  SC678  SC656  SC656  SC634  SC6260  SC573  SC553  SC542  SC535  SC529  SC513  SC504,United States,US and Foreign Consignees only. No government consignees.,81215,E-Mail,Parasite Cleansing Kit Peppermint,33323-2813,839 pkgs,Food,"Routine quality testing identified elevated levels of lead above applicable 2232 levels, which may pose potential health risks to a portion of the population.",F-0415-2019,NUTRANEXT BUSINESS LLC,FL,Terminated,Voluntary: Firm initiated,2018-10-01,2018-11-14,2018-11-08,2019-07-02
13023 Arroyo St,San Fernando,Class I,Use by dates up to:  1/2/2016,United States,U.S. distribution nationwide.  Foreign distribution to the following; Canada and Malaysia,72213,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Mozzarella   Natural Hickory Smoked  Net Wt. 1lb.    UPC Codes:  7 96252 70012 5, 7 96252 70013 2, 7 96252 12014 5,  7 96252 12015 2    Product is vacuum packed.",91340-1540,1.6 million lbs (total all cheese),Food,Karoun Dairies is recalling all cheese manufactured from an identified manufacturer due to potential Listeria monocytogenes contamination.,F-0087-2016,Karoun Dairies,CA,Terminated,Voluntary: Firm initiated,2015-09-16,2015-10-28,2015-10-21,2016-04-12
13023 Arroyo St,San Fernando,Class I,Use by Dates up to:  12/29/2015,United States,U.S. distribution nationwide.  Foreign distribution to the following; Canada and Malaysia,72213,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nabulsi Cheese  16 oz, 25 lb    UPC Codes:  7 96252 03225 7, 7 96252 00225 0, 7 96252 00223 6,  7 96252 00125 3    Product is vacuumed packed or packaged in pails.",91340-1540,1.6 million lbs. (total all cheese),Food,Karoun Dairies is recalling all cheese manufactured from an identified manufacturer due to potential Listeria monocytogenes contamination.,F-0080-2016,Karoun Dairies,CA,Terminated,Voluntary: Firm initiated,2015-09-16,2015-10-28,2015-10-21,2016-04-12
